time_s,delta_w_mps,delta_q_rads,delta_e_rad,delta_w_dot,delta_q_dot,perturbation_az_mps2,delta_alpha_rad,delta_CL,delta_Cm,delta_Lift_N,delta_PitchMom_Nm,total_thrust_N,propulsion_model_status
1.4000000000000001,2.076609141757357,0.15999351741506415,-0.05,2.0741335936164953,-0.5728775912804566,-4.709220359821822,0.04897931070184399,0.19343679496465,-0.022244014220479225,112.64175805621664,-3.6125141185272813,nan,MODEL_NOT_IDENTIFIED
1.42,2.1125358790483193,0.1486020335930556,-0.05,1.5238080652379642,-0.5645235029183627,-4.7765734023896576,0.04982668577734252,0.19620340083355278,-0.021919636965802167,114.25280288860651,-3.5598339952080313,nan,MODEL_NOT_IDENTIFIED
1.44,2.1377962342417125,0.13747760907822626,-0.05,1.008570578473801,-0.5464172604530072,-4.8201610983899315,0.050422481471668085,0.19799381698950974,-0.021216597571332915,115.29539472588391,-3.4456576728397965,nan,MODEL_NOT_IDENTIFIED
1.46,2.1531514753817116,0.126800499223626,-0.05,0.5341262449510786,-0.5200375863489871,-4.841920744972465,0.05078465320229106,0.1988876202038168,-0.020192312706934792,115.8158725668978,-3.279309841132993,nan,MODEL_NOT_IDENTIFIED
1.48,2.1594624566315215,0.11672148728231417,-0.05,0.10474138442756065,-0.4868483093147767,-4.843978882492065,0.050933505244426615,0.19897216063619588,-0.01890362073930818,115.86510199572363,-3.070021271123099,nan,MODEL_NOT_IDENTIFIED
1.5,2.15650123144285,0.0929744161857312,0.05,-1.214794617344639,-4.707005982822161,-5.156694162974091,0.05086366120605774,0.21181731056993208,-0.18276628307934445,123.34506603925608,-29.68195270289938,nan,MODEL_NOT_IDENTIFIED
1.52,2.0956510979550975,0.0029205526745005733,0.05,-4.786495058903914,-4.291750948993131,-4.910319716620534,0.04942843801724758,0.20169718884650836,-0.16664252641961408,117.4519354025658,-27.06339213196843,nan,MODEL_NOT_IDENTIFIED
1.54,1.9684246400350442,-0.07847467854798182,0.05,-7.851664235579374,-3.8432846610184415,-4.524519926399177,0.04642764981562775,0.18585000625230136,-0.14922922445257863,108.22383323112749,-24.235404405356594,nan,MODEL_NOT_IDENTIFIED
1.56,1.7849623108366586,-0.15067253176974127,0.05,-10.41101311109692,-3.373991073217348,-4.022847324333597,0.042100471319106575,0.1652432108912082,-0.13100722834116718,96.2241221223779,-21.27608161551507,nan,MODEL_NOT_IDENTIFIED
1.58,1.5552929333100498,-0.2133716719105333,0.05,-12.474778973027766,-2.8952088008856602,-3.428315106299985,0.03668344431369947,0.1408220969971033,-0.11241680023512943,82.00326407297845,-18.256924041847554,nan,MODEL_NOT_IDENTIFIED
1.6,1.2891561722543181,-0.2664862739188391,0.05,-14.06142247416383,-2.4171373564458443,-2.7630227081605425,0.030406290444531824,0.1134944250307592,-0.09385397255538824,66.08986448198996,-15.242248884379087,nan,MODEL_NOT_IDENTIFIED
1.62,0.9958511566160189,-0.3101225764819676,0.05,-15.196320066912692,-1.948775935440112,-2.0478423084547033,0.023488340791666402,0.08411754440717567,-0.0756681711420545,48.983173481176095,-12.288804253781914,nan,MODEL_NOT_IDENTIFIED
1.6400000000000001,0.6841110849128502,-0.3445545153134845,0.05,-15.910477206559772,-1.49789212775347,-1.3021651237435545,0.01613557828902077,0.05348797227684422,-0.058161000356148365,31.147017470109333,-9.445571867186553,nan,MODEL_NOT_IDENTIFIED
1.6600000000000001,0.3620031725077008,-0.37019900601180195,0.05,-16.23928435197118,-1.071017666364579,-0.5437053587647247,0.008538277861140062,0.022333340546530044,-0.0415860780097001,13.005109720149473,-6.753740240190422,nan,MODEL_NOT_IDENTIFIED
1.68,0.03685289265852665,-0.3875913868164756,0.05,-16.221334416048613,-0.6734681483037157,0.2116411729525382,0.0008692195577335044,-0.008693411446145865,-0.02614980110222844,-5.062331336594263,-4.246829045429612,nan,MODEL_NOT_IDENTIFIED
