time_s,delta_w_mps,delta_q_rads,w_gust_mps,delta_w_aero_mps,delta_e_rad,delta_w_dot,delta_q_dot,perturbation_az_mps2,delta_alpha_rad,delta_CL,delta_Cm,delta_Lift_N,delta_PitchMom_Nm,total_thrust_N,propulsion_model_status
5.34,-1.8567536625482643e-05,2.4974187532938194e-06,0.0,-1.8567536625482643e-05,0.0,0.00014479525895073566,8.994417523931313e-06,3.891049782258538e-05,-4.3793756227894173e-07,-1.5982947099898905e-06,3.492403165221884e-07,-0.0009307160308260537,5.6717980922427296e-05,nan,MODEL_NOT_IDENTIFIED
5.36,-1.567276330594022e-05,2.6418463993764872e-06,0.0,-1.567276330594022e-05,0.0,0.0001442064982481071,5.495980291126985e-06,3.21983399981906e-05,-3.696608707349133e-07,-1.3225848901807893e-06,2.1340102250823157e-07,-0.0007701651965220871,3.4657153114449685e-05,nan,MODEL_NOT_IDENTIFIED
5.38,-1.281709029028167e-05,2.719281404066353e-06,0.0,-1.281709029028167e-05,0.0,0.00014094675957388022,2.3002135878672396e-06,2.5655536774324297e-05,-3.0230640663077956e-07,-1.0538315108513578e-06,8.931399052334335e-08,-0.0006136652238217087,1.4504938207175742e-05,nan,MODEL_NOT_IDENTIFIED
5.4,-1.0050217000014592e-05,2.7360479880381696e-06,0.0,-1.0050217000014592e-05,0.0,0.00013538876255904812,-5.67391396694491e-07,1.9386675497561963e-05,-2.3704639027452897e-07,-7.963306209374294e-07,-2.2030993162850232e-08,-0.0004637177800261999,-3.5779186731818156e-06,nan,MODEL_NOT_IDENTIFIED
5.42,-7.414372916074303e-06,2.6988870028354864e-06,0.0,-7.414372916074303e-06,0.0,0.00012790551718723462,-3.090543700540675e-06,1.3478969684856586e-05,-1.7487685449001696e-07,-5.536646187784227e-07,-1.2000137388893616e-07,-0.00032240896073636703,-1.9488688198074415e-05,nan,MODEL_NOT_IDENTIFIED
5.44,-4.944384547628406e-06,2.6147793960500683e-06,0.0,-4.944384547628406e-06,0.0,0.00011886320395105792,-5.261391530991195e-06,8.002623846733855e-06,-1.1661922415633132e-07,-3.287172376614894e-07,-2.0429227782027508e-07,-0.0001914180162069992,-3.3177857675184574e-05,nan,MODEL_NOT_IDENTIFIED
5.46,-2.6678752424127275e-06,2.4907856569624844e-06,0.0,-2.6678752424127275e-06,0.0,0.00010861501221174533,-7.07968944482475e-06,3.011478979260144e-06,-6.292502897358364e-08,-1.2370006016739855e-07,-2.748941747490389e-07,-7.203279113191422e-05,-4.464387936182565e-05,nan,MODEL_NOT_IDENTIFIED
5.48,-6.055785853932277e-07,2.333902433206301e-06,0.0,-6.055785853932277e-07,0.0,9.749594231813153e-05,-8.551917937593529e-06,-1.4561061961705994e-06,-1.428329534524596e-08,5.981128386314578e-08,-3.320586930115646e-07,3.482919662298672e-05,-5.392761867503202e-05,nan,MODEL_NOT_IDENTIFIED
5.5,1.2282537849858642e-06,2.1509370442873336e-06,0.0,1.2282537849858642e-06,0.0,8.581855808615518e-05,-9.6903777049208e-06,-5.376182417685027e-06,2.8969834787796506e-08,2.2083305017853152e-07,-3.762634509551752e-07,0.00012859509491755348,-6.110664268547136e-05,nan,MODEL_NOT_IDENTIFIED
5.5200000000000005,2.825368676651601e-06,1.9484001933458482e-06,0.0,2.825368676651601e-06,0.0,7.386965974509541e-05,-1.0512278729232657e-05,-8.737988164319988e-06,6.663970001782175e-08,3.5892319657962574e-07,-4.081766874840397e-07,0.00020900749455280473,-6.628947598101399e-05,nan,MODEL_NOT_IDENTIFIED
5.54,4.182970151450174e-06,1.73241679776874e-06,0.0,4.182970151450174e-06,0.0,6.190783344914449e-05,-1.1038842098624503e-05,-1.1542619569279267e-05,9.866035479889875e-08,4.741267480339587e-07,-4.286223869755416e-07,0.00027609261438487877,-6.960993681798902e-05,nan,MODEL_NOT_IDENTIFIED
5.5600000000000005,5.303137634473253e-06,1.5086545242936867e-06,0.0,5.303137634473253e-06,0.0,5.016182190918974e-05,-1.1294430139070608e-05,-1.3801629842366219e-05,1.2508084485927657e-07,5.669182662959524e-07,-4.385465035631013e-07,0.00033012680034027884,-7.122165181381308e-05,nan,MODEL_NOT_IDENTIFIED
5.58,6.192219114957819e-06,1.2822693261302407e-06,0.0,6.192219114957819e-06,0.0,3.882965155246901e-05,-1.1305718090291149e-05,-1.5535593010616577e-05,1.460508951187381e-07,6.381428538550254e-07,-4.389847984995616e-07,0.000371602170943628,-7.129283261015441e-05,nan,MODEL_NOT_IDENTIFIED
5.6000000000000005,6.860213864441568e-06,1.0578670383759341e-06,0.0,6.860213864441568e-06,0.0,2.8078444761980376e-05,-1.1100918226910675e-05,-1.6772663413630198e-05,1.6180635035788676e-07,6.889569835029396e-07,-4.31032713895929e-07,0.0004011921613003416,-7.000138325134676e-05,nan,MODEL_NOT_IDENTIFIED
5.62,7.320157618426678e-06,8.394798927578784e-07,0.0,7.320157618426678e-06,0.0,1.8044841046779278e-05,-1.0709065061728591e-05,-1.7547158812803565e-05,1.72654673992225e-07,7.207702978700405e-07,-4.1581761819081023e-07,0.0004197176319097994,-6.753039274106012e-05,nan,MODEL_NOT_IDENTIFIED
5.64,7.587521614582098e-06,6.305566618386812e-07,0.0,7.587521614582098e-06,0.0,8.83594828712382e-06,-1.01593681025685e-05,-1.7898191283380798e-05,1.7896077366926911e-07,7.351893716972741e-07,-3.944736746283098e-07,0.00042811412041519876,-6.406405358571135e-05,nan,MODEL_NOT_IDENTIFIED
5.66,7.679635291591474e-06,4.339650339950248e-07,0.0,7.679635291591474e-06,0.0,5.307443042883178e-07,-9.480636597841579e-06,-1.7868366338221865e-05,1.811333849302951e-07,7.339642768066713e-07,-3.6811950495431797e-07,0.0004274007254156155,-5.9784034292174496e-05,nan,MODEL_NOT_IDENTIFIED
5.68,7.615140862469342e-06,2.5200475088115806e-07,0.0,7.615140862469342e-06,0.0,-6.81815027022193e-06,-8.700778822320468e-06,-1.7502567056560988e-05,1.7961220666954753e-07,7.189386387523228e-07,-3.3783874740213357e-07,0.00041865102354701544,-5.486632190929637e-05,nan,MODEL_NOT_IDENTIFIED
5.7,7.413486414891149e-06,8.643000548466755e-08,0.0,7.413486414891149e-06,0.0,-1.3182404709519275e-05,-7.8463767416906e-06,-1.6846836424456454e-05,1.7485594529915668e-07,6.920037276327158e-07,-3.046635415277715e-07,0.00040296633572867705,-4.9478539901144066e-05,nan,MODEL_NOT_IDENTIFIED
5.72,7.094462685097377e-06,-6.15204022813319e-08,0.0,7.094462685097377e-06,0.0,-1.8555690020574862e-05,-6.942335364902285e-06,-1.5947367691179683e-05,1.6733138900754422e-07,6.550569857855035e-07,-2.6956091306532193e-07,0.0003814515770868182,-4.3777736994748295e-05,nan,MODEL_NOT_IDENTIFIED
5.74,6.677787223413798e-06,-1.9108662797981737e-07,0.0,6.677787223413798e-06,0.0,-2.2951239058362933e-05,-6.011604754907106e-06,-1.484960935299559e-05,1.575035998057865e-07,6.099652639379226e-07,-2.3342198000303597e-07,0.000355193848697441,-3.790863420502675e-05,nan,MODEL_NOT_IDENTIFIED
